01BEDA.AFS,d8256bf0
01BEDB.AFS,c4f0b578
01BNK.AFS,cf40a5bc
01BTU.AFS,2fb1cae6
01BUS.AFS,33080ca1
01CAT3.AFS,06b20454
01DIS.AFS,b949b208
01EAR.AFS,a50e7618
01ETU.AFS,abba4c82
01FRE.AFS,10d672bc
01FRO.AFS,da38fefc
01FULB.AFS,9e8777d3
01GAK.AFS,feb38f8e
01GAR.AFS,15904917
01HIS.AFS,013764cf
01HOK.AFS,66631a86
01INY.AFS,ec0e539e
01JIM.AFS,6b78051f
01JIMB.AFS,87d91fec
01JUCE.AFS,b2a47ceb
01KEI.AFS,73de4337
01KOZ.AFS,f695e53a
01MIR.AFS,9f3f527a
01MIT.AFS,b8312246
01MON.AFS,748d57f4
01MUT.AFS,9cb7ce13
01OKO.AFS,f4b96d55
01SKI.AFS,bcc21445
01SKIA.AFS,d4d2f529
01SOR.AFS,c4383d21
01TAZ.AFS,4b0e2204
01TEL.AFS,af8b8400
A01136.AFS,fa0a0ae0
A0132.AFS,89412826
A0154.AFS,42563ea9
A0159.AFS,b54e6a59
A0160.AFS,9717eddd
A0165.AFS,5d2eb363
A0167.AFS,94f27f5c
A0169.AFS,90638937
A0172.AFS,24a75f41
A0172A.AFS,9d3739e6
A0173.AFS,85365d4d
BTT00.AFS,4cbca024
E1004A.AFS,0a122be9
E1005.AFS,788aaa6e
E1006.AFS,854a3eaa
E1008.AFS,2bd429a7
E1009A.AFS,e83a8812
E1009B.AFS,c6cddfef
E1010.AFS,2e5a1ba1
E1011.AFS,0b960671
E1012.AFS,1c42827a
E1018.AFS,17c9e35c
E1024.AFS,10c0f726
E1025.AFS,86718ec1
E1026.AFS,b5a22aa2
E1027.AFS,5a5dfba5
E1031.AFS,47791042
E1032.AFS,fdfa57e9
E1036.AFS,de7b3f5a
E1039.AFS,c6c0025f
E1040.AFS,e0b9001d
E1041.AFS,f215eaf9
E1042.AFS,4ac06b32
E1046.AFS,85769496
E1060.AFS,e06e8019
E1061.AFS,bde36504
E1066.AFS,d0b69c3d
E1067.AFS,1cfbb048
E1072.AFS,175069a2
E1076.AFS,8e14bf3d
E1079.AFS,01a32dbc
E1081.AFS,bc67b32f
FREE02.AFS,e16e1a87
Q1003.AFS,3c3a838e
SA1018.AFS,8aaae78f
SA1035.AFS,db905917
SA1036.AFS,9c6a21cb
SA1037.AFS,5a93f6ce
SA1039.AFS,cc9f056d
SA1060.AFS,53d44691
SA1062.AFS,7c62dde1
SA1063.AFS,f87173cc
SA1070.AFS,031c9f67
SA1076.AFS,c632b549
SA1079.AFS,2430eb5c
SA1080.AFS,a63f18c6
SA1081.AFS,2de39cf2
SA1085.AFS,d8563c06
SA1086.AFS,37929358
SA1088.AFS,93b4450f
SA1089.AFS,d9264d75
SA1090.AFS,88ce9839
SA1091.AFS,534f48f5
SA1095.AFS,37246704
SA1096.AFS,2db19926
SA1097.AFS,45532bca
SA1098.AFS,060fa9da
SA1099.AFS,e06313d2
SA1102.AFS,50001a64
SA1104.AFS,433be757
SA1108.AFS,81b91e49
SA1109.AFS,ab6e7ba5
SA1114.AFS,5716a501
SA1115.AFS,8ebf1cb1
SA1117.AFS,2c818f28
SA1118.AFS,28e257c7
SA1119.AFS,5a36c56d
SA1120.AFS,aad6d767
SA1121.AFS,8d154937
SA1122.AFS,6894c7cf
SY01.AFS,e567dfa6
SY02.AFS,581b55f5
SY03.AFS,e4f81bf0
SY04.AFS,92d9bad5
SY05.AFS,15068f22
SY06.AFS,f75b710f
SY07.AFS,bb36ef9e
SY08.AFS,1f4520dd
SY09.AFS,3f292bdd
SY10.AFS,4b5c9236
SY11.AFS,1b8c0a01
