0001.AFS,73337be1
0005.AFS,83c8f1aa
0006.AFS,e52a185c
0007.AFS,40f2ce3b
0008.AFS,40056748
0009.AFS,187189c1
0011.AFS,8f42f928
0012.AFS,c417c115
0013.AFS,ed43dbe1
0014.AFS,a3c24c02
0015.AFS,4f210e5d
0016.AFS,8b557528
0017.AFS,786f968d
0018.AFS,02883211
0020.AFS,2e6f69c9
0021.AFS,4c04cd32
0022.AFS,411c3068
0023.AFS,3b363fe1
0024.AFS,8806f2b6
0025.AFS,6dd9c47d
0026.AFS,2f222a75
0027.AFS,e1bf915a
0028.AFS,f016dc69
0029.AFS,f3e3a0a4
0030.AFS,c489ad74
0031.AFS,95f526b7
0032.AFS,caece16a
0033.AFS,bfb85fda
0074.AFS,f29b3b25
0075.AFS,51a019ee
0076.AFS,27b24509
0078.AFS,9b19c100
0081.AFS,d17eef0d
0099.AFS,fc62d4a9
0102.AFS,7f74d3ef
0103.AFS,efb9a943
0104AA1.AFS,2a9373b2
0104AD2.AFS,a2319bdf
0104AHE.AFS,14085ab8
0104ANS.AFS,ff8b5f85
0104CHW.AFS,e66dcae0
0104CKN.AFS,f34c0060
0104CN6.AFS,ba9a787e
0104DHO.AFS,a0c5b8fd
0104DY1.AFS,97517cc0
0104EIN.AFS,6cb5c089
0104EMI.AFS,2557e174
0104GKS.AFS,ccf7919c
0104HAK.AFS,cd95938b
0104JOE.AFS,5dfc93c9
0104KNH.AFS,6f74ed32
0104KNT.AFS,3378d321
0104KOO.AFS,d4b77b82
0104KOW.AFS,43978a26
0104KT4.AFS,10e6124a
0104LYO.AFS,c81989f6
0104OD1.AFS,18c5c73d
0104RKU.AFS,f6f695d7
0104SCN.AFS,0b9d2813
0104SNN.AFS,7814be5c
0104SNS.AFS,c5951fcd
0104SOG.AFS,ea903b99
0104SSA.AFS,f0f70a77
0104SYO.AFS,fedac72d
0104SYY.AFS,fdde5b3e
0104TJN.AFS,dc4f8c0c
0104YM1.AFS,b757c233
0104YM2.AFS,aef3d8ab
0107.AFS,74796487
0108.AFS,723f8ccc
0109.AFS,1077f136
0110.AFS,e711b792
0112.AFS,cf5b385b
0113.AFS,cc95c3ab
0115.AFS,4ffd99cd
0116.AFS,1c4b7f87
0120.AFS,700519b9
0121.AFS,5330bb65
0137.AFS,c5a10516
0139.AFS,a67afc08
0140.AFS,041bc112
0147.AFS,70129a18
0149.AFS,2a2675e8
0150.AFS,47da1879
0151.AFS,9b3ae426
0173.AFS,ba9d9805
0181.AFS,0728bd88
0184.AFS,2a6de13e
0185.AFS,3a367b4c
0192.AFS,3a962dba
0198.AFS,c262a429
0400.AFS,de52e80d
0401.AFS,34fbca6f
0549.AFS,8cd3df56
1001.AFS,bc152925
1005.AFS,a14a2151
1006.AFS,fa58f15b
1021.AFS,8d85cc04
1034.AFS,8fe8ed9c
1035.AFS,1ecf9f26
1036.AFS,b6105d7f
1037.AFS,cdfbc359
1038.AFS,daec5e66
BGM01.AFS,88c6e47b
FREE01.AFS,5569a46b
SY07.AFS,2802c58b
SY08.AFS,8b90c591
